#Time "Reaction Count" X  
2.4 684 6 320 364
2.5 689 7 323 366
2.6 696 4 325 371
2.7 706 4 330 376
2.8 712 2 332 380
2.9 714 0 332 382
3.0 714 0 332 382
3.1 714 0 332 382
3.2 714 0 332 382
3.3 714 0 332 382
3.4 714 0 332 382
3.5 714 0 332 382
3.6 714 0 332 382
3.7 714 0 332 382
3.8 714 0 332 382
3.9 714 0 332 382
4.0 714 0 332 382
4.1 714 0 332 382
4.2 714 0 332 382
4.3 714 0 332 382
4.4 714 0 332 382
4.5 714 0 332 382
4.6 714 0 332 382
4.7 714 0 332 382
4.8 714 0 332 382
4.9 714 0 332 382
5.0 714 0 332 382

0.0 0 50 0 0
0.1 76 42 34 42
0.2 134 38 61 73
0.3 196 54 100 96
0.4 272 42 132 140
0.5 332 48 165 167
0.6 412 40 201 211
0.7 451 37 219 232
0.8 513 43 253 260
0.9 564 32 273 291
1.0 612 34 298 314
1.1 674 38 331 343
1.2 735 37 361 374
1.3 794 40 392 402
1.4 838 42 415 423
1.5 893 37 440 453
1.6 949 37 468 481
1.7 1001 47 499 502
1.8 1068 42 530 538
1.9 1121 39 555 566
2.0 1166 42 579 587
2.1 1216 40 603 613
2.2 1273 33 628 645
2.3 1318 24 646 672
2.4 1357 25 666 691
2.5 1390 10 675 715
2.6 1406 12 684 722
2.7 1427 19 698 729
2.8 1455 17 711 744
2.9 1475 13 719 756
3.0 1493 13 728 765
3.1 1505 5 730 775
3.2 1511 1 731 780
3.3 1511 1 731 780
3.4 1512 0 731 781
3.5 1512 0 731 781
3.6 1512 0 731 781
3.7 1512 0 731 781
3.8 1512 0 731 781
3.9 1512 0 731 781
4.0 1512 0 731 781
4.1 1512 0 731 781
4.2 1512 0 731 781
4.3 1512 0 731 781
4.4 1512 0 731 781
4.5 1512 0 731 781
4.6 1512 0 731 781
4.7 1512 0 731 781
4.8 1512 0 731 781
4.9 1512 0 731 781
5.0 1512 0 731 781

0.0 0 50 0 0
0.1 74 54 39 35
0.2 152 56 79 73
0.3 241 57 124 117
0.4 315 57 161 154
0.5 383 49 191 192
0.6 448 40 219 229
0.7 505 49 252 253
0.8 578 42 285 293
0.9 624 30 302 322
1.0 667 13 315 352
1.1 686 10 323 363
1.2 700 10 330 370
1.3 708 8 333 375
1.4 721 9 340 381
1.5 737 15 351 386
1.6 755 9 357 398
1.7 766 6 361 405
